severity,graphicId,displayName,usage,maps,impact,category,suggested,confidence,hasPreview,classicAssetPath,sourceTexturePath,sourceExt,sourceExists,sourceLoadsAsTexture,cropValid,cropInsideTexture,fallbackCandidates,issues,classificationReason
"WARNING",59613,"GRH 59613 (tex_5023.png)",642,15,1017,"Unclassified","Other",0.340,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_59613.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5023.png",".png",1,1,1,1,1,"HIGH_IMPACT_UNCLASSIFIED","Sin patrón fuerte. verde 0.00, marrón 0.00, gris 1.00, azul 0.00"
"WARNING",7856,"GRH 7856 (tex_5095.png)",9,1,34,"Unclassified","Unclassified",0.150,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_7856.asset","Assets/Resources/AOMigrator/WorldV07/Textures/tex_5095.png",".png",1,1,1,1,1,"CLASSIFIER_STALE_15_PERCENT","Sprite vacío o casi vacío."
"WARNING",7860,"GRH 7860 (tex_5095.png)",8,1,33,"Unclassified","Unclassified",0.150,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_7860.asset","Assets/Resources/AOMigrator/WorldV07/Textures/tex_5095.png",".png",1,1,1,1,1,"CLASSIFIER_STALE_15_PERCENT","Sprite vacío o casi vacío."
"WARNING",7843,"GRH 7843 (tex_5095.png)",6,1,31,"Unclassified","Unclassified",0.150,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_7843.asset","Assets/Resources/AOMigrator/WorldV07/Textures/tex_5095.png",".png",1,1,1,1,1,"CLASSIFIER_STALE_15_PERCENT","Sprite vacío o casi vacío."
"WARNING",7847,"GRH 7847 (tex_5095.png)",6,1,31,"Unclassified","Unclassified",0.150,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_7847.asset","Assets/Resources/AOMigrator/WorldV07/Textures/tex_5095.png",".png",1,1,1,1,1,"CLASSIFIER_STALE_15_PERCENT","Sprite vacío o casi vacío."
"WARNING",7848,"GRH 7848 (tex_5095.png)",6,1,31,"Unclassified","Unclassified",0.150,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_7848.asset","Assets/Resources/AOMigrator/WorldV07/Textures/tex_5095.png",".png",1,1,1,1,1,"CLASSIFIER_STALE_15_PERCENT","Sprite vacío o casi vacío."
"WARNING",7852,"GRH 7852 (tex_5095.png)",6,1,31,"Unclassified","Unclassified",0.150,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_7852.asset","Assets/Resources/AOMigrator/WorldV07/Textures/tex_5095.png",".png",1,1,1,1,1,"CLASSIFIER_STALE_15_PERCENT","Sprite vacío o casi vacío."
"WARNING",7835,"GRH 7835 (tex_5095.png)",4,1,29,"Unclassified","Unclassified",0.150,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_7835.asset","Assets/Resources/AOMigrator/WorldV07/Textures/tex_5095.png",".png",1,1,1,1,1,"CLASSIFIER_STALE_15_PERCENT","Sprite vacío o casi vacío."
"WARNING",7839,"GRH 7839 (tex_5095.png)",4,1,29,"Unclassified","Unclassified",0.150,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_7839.asset","Assets/Resources/AOMigrator/WorldV07/Textures/tex_5095.png",".png",1,1,1,1,1,"CLASSIFIER_STALE_15_PERCENT","Sprite vacío o casi vacío."
"WARNING",7752,"GRH 7752 (tex_5095.png)",3,1,28,"Unclassified","Unclassified",0.150,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_7752.asset","Assets/Resources/AOMigrator/WorldV07/Textures/tex_5095.png",".png",1,1,1,1,1,"CLASSIFIER_STALE_15_PERCENT","Sprite vacío o casi vacío."
